"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Jun 2002","2.402,50","2.317,00","2.406,50","2.308,00","3,64%"
"May 2002","2.318,05","2.278,00","2.370,05","2.274,00","1,69%"
"Abr 2002","2.279,55","2.270,00","2.284,95","2.248,00","0,29%"
"Mar 2002","2.273,00","2.302,00","2.312,50","2.250,00","-1,35%"
"Feb 2002","2.304,00","2.266,00","2.325,00","2.250,00","1,59%"
"Ene 2002","2.268,00","2.275,00","2.321,50","2.217,00","-0,42%"
"Dic 2001","2.277,50","2.297,00","2.329,00","2.271,00","-0,91%"
"Nov 2001","2.298,50","2.307,00","2.325,00","2.293,10","-0,43%"
"Oct 2001","2.308,50","2.332,50","2.346,20","2.289,00","-1,09%"
"Sep 2001","2.334,00","2.298,50","2.361,20","2.298,50","1,40%"
"Ago 2001","2.301,75","2.288,00","2.306,75","2.270,00","0,49%"
"Jul 2001","2.290,50","2.297,00","2.332,00","2.283,00","-0,37%"
"Jun 2001","2.299,00","2.320,00","2.326,50","2.285,00","-0,97%"
"May 2001","2.321,50","2.341,00","2.387,50","2.280,00","-0,92%"
"Abr 2001","2.343,00","2.309,00","2.354,00","2.300,00","1,41%"
"Mar 2001","2.310,50","2.262,00","2.313,50","2.254,00","2,08%"
"Feb 2001","2.263,50","2.240,00","2.264,30","2.224,00","0,97%"
"Ene 2001","2.241,75","2.233,50","2.266,75","2.210,00","0,26%"
"Dic 2000","2.236,00","2.165,00","2.249,00","2.165,00","3,28%"
"Nov 2000","2.165,00","2.135,00","2.178,30","2.118,00","1,31%"
"Oct 2000","2.137,00","2.210,00","2.216,00","2.135,00","-3,35%"
"Sep 2000","2.211,00","2.216,00","2.242,50","2.199,00","-0,27%"
"Ago 2000","2.217,03","2.172,00","2.217,97","2.168,00","1,93%"
"Jul 2000","2.175,00","2.156,00","2.192,00","2.129,00","0,88%"
"Jun 2000","2.156,00","2.100,00","2.160,00","2.083,00","2,56%"
"May 2000","2.102,25","2.002,00","2.135,25","1.995,00","4,68%"
"Abr 2000","2.008,35","1.957,00","2.010,35","1.950,00","2,41%"
"Mar 2000","1.961,00","1.946,00","1.973,06","1.943,00","0,69%"
"Feb 2000","1.947,50","1.975,00","1.980,50","1.930,00","-1,47%"
"Ene 2000","1.976,50","1.870,00","1.989,50","1.863,00","5,41%"
